id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
55824,True,Mashhad,Sunday 08AM,"لطفا موقع پیام دادن بگین که در مورد کدوم مدل پیام میدین 
تعداد محدودی گوشی مایکروسافت و نوکیا (سری لومیا) آکبند واسه فروش موجوده
موجودی :
Microsoft Lumia 950 XL Dual sim : 1/640
Microsoft Lumia 950 Dual sim : 1//450
Microsoft Lumia 650 Dual sim 4G : 650
Microsoft Lumia 650 4G : 620
Microsoft Lumia 640 XL Dual sim 4G : 660
Microsoft Lumia 640 XL Dual sim 3G : 560
Microsoft Lumia 640 XL 4G : 600
Microsoft Lumia 540 Dual sim : 320
Microsoft Lumia 550 4G : 370
Microsoft Lumia 640 Dual sim : 450
Microsoft Lumia 640 4G : 450
Microsoft Lumia 532 Dual sim : 240
Nokia Lumia 930 4G : 1/060
Nokia Lumia 635 4G : 280
Nokia Lumia 630 Dual sim : 260
Nokia Lumia 530 Dual sim : 220
Nokia Lumia 520 : 210 
(جهت اطلاع از رنگهای موجود لطفا پیام بدین یا تماس بگیرین)
همه گوشیها آکبند و اصلی هستن
* قیمتها مقطوع *
در ضمن تعداد محدودی درب پشت اصلی , شارژر اصلی , هندزفری , گارد و گلس ، پاور بانک و شارژر وایرلس اصلی نوکیا برای اکثر مدلهای لومیا موجوده",5,NA,web,320000,فروش ویژه گوشیهای لومیا + لوازم جانبی,NA,NA
55845,True,Shiraz,Monday 07PM,رنگ گلد ٦٤گیگ با برچسب و بکاور دوربین و اثر انگشت کار نمیکنه ولی همه چیز دیگه سالم است باطری بسیار خوب گوشی اصلی و llaاست,0,NA,mobile,980000,ایفون6گیگ٦٤,NA,NA
56047,True,Tehran,Tuesday 09AM,بسیاربسیارتمیز،1هفته مهلت تسط داره،لوازم جانبی کامل جعبه ای حتی هنذفریش بازنشده هنوزهمشونم به شرط سالم بودنواصلی بودن،لطفافقط تماس,4,NA,mobile,1050000,iphon5s/32GB/LLA,NA,NA
56176,True,Ahvaz,Monday 10AM,کاملا تمیز باهاش زیاد کار نکردم 16 گیگ رنگشم گلد,3,NA,mobile,7500000,سامسونگj7,NA,NA
56220,False,Shiraz,Wednesday 11PM,کمتراز یک ماه کار کرد مطابق گوشی کارنکرده میباشد,0,NA,mobile,1250000,a8رنگ گلد گرون ترین رنگ,NA,NA
56307,True,Mashhad,Thursday 08PM,"سامسوسنگ s5 
اصلی 
برد و ال سی دی سوخته 
کلا خاموشه",2,NA,mobile,180000,گوشی  سامسونگ s5,NA,NA
56359,True,Tehran,Sunday 04PM,"اس جوابگو نیستم.
مدل N صد.
همه نوع سیمی جواب میده.
کاملا سالمه و آماده استفاده میباشد.
فقط بهمراه باطری و شارژره.
قیمت مقطوع.
تقریبا برای ۱۷ سال پیشه.",3,NA,mobile,80000,گوشی دردار,NA,NA
56705,True,Shiraz,Tuesday 07AM,"گوشی موبایل مینی,,خوش دست . در حد نو داری کارتن و شارژر و هندزفری.مموری خور و دو سیم کارته",1,NA,mobile,45000,گوشی موبایل مینی,NA,NA
56752,True,Tehran,Friday 01AM,گارانتی همراه سرویس سالم بدون ایراد بدون خط وخش وتعمیر فروش یامعاوضه باS7مدل گوG925Fکه بهترین مدله,4,NA,mobile,1380000,S6 Edgeنو نو مشابه آک مشکی ۳۲گیگ,NA,NA
56761,False,Ahvaz,Saturday 08AM,گوشی در حد اک بود و کم استفاده شده,0,NA,mobile,200000,سامسونگ استار۲پلاس,NA,NA
